3500	11750	250
2.0	5.0	0.5
	8	g	r	i	z	J	H	K
4000.0	4.0	228539.9843913167	429841.0498938782	459682.3309284771	412667.52944300615	290356.12947043916	214810.805721997	90254.93396878689
4000.0	4.5	218364.6198401189	421480.42355832015	461219.2424429515	415761.31468772783	285413.0510668323	202333.12280256322	85736.81667189114
4000.0	5.0	212191.81928157702	418923.1358160473	463771.20351391874	418476.6606075089	278637.8175556301	184863.30460998692	80306.71723454977
4250.0	2.0	405324.27850120864	681999.9316530419	615103.7969555377	514734.79156612995	345699.93369401916	240044.481738505	101875.45152832699
4250.0	2.5	410154.4196155782	678056.5836634366	613668.8313187007	514233.57414056966	344179.19618530077	241331.9983078883	102005.72708519598
4250.0	3.0	411363.73367142247	675168.494413457	613389.2880540761	514289.82107127423	343225.95443787077	242502.08026321392	102112.81533780177
4250.0	3.5	409102.38365419576	672425.4593313623	614368.1439218302	515599.7636037499	343126.8387567311	243181.5593492144	102154.14688862598
4250.0	4.0	402297.9465213605	670118.910889739	617523.8197187708	518793.2680796092	344023.2743964393	243043.67356602903	101921.71654420836
4250.0	4.5	388665.8066395675	663790.5203110864	620602.8831767105	522621.6919843805	343535.6433805209	239317.3557135543	100529.25773053538
4250.0	5.0	366017.6463637717	647669.9070225706	619698.5828692032	524479.3847812072	337894.7300561551	227961.65471803182	96799.65715800003
4500.0	2.0	643086.9268883237	957514.6661184506	811284.9519335807	652007.2310527497	408918.3953169549	260729.8477763627	109897.49231597372
4500.0	2.5	652767.3751855384	952782.2454244875	808463.5086565723	650875.1154064776	407277.3008164827	262012.5975383359	110077.39109906004
4500.0	3.0	657531.2426001912	949156.8956200666	806923.8849440005	650275.7779311878	405979.8817104914	263251.0866847663	110241.47948621647
4500.0	3.5	657448.2051036253	947121.2848912496	806701.8179392738	650296.0412730732	405298.1791339238	264343.49725772365	110437.29412538077
4500.0	4.0	650360.3437622928	945797.6724558364	808494.2810137126	651940.7611517454	405422.6941241375	265063.66201413434	110612.06672666094
4500.0	4.5	637476.9859047157	945637.1794433804	812321.552919855	655146.505760889	406270.4018007826	265255.7183859372	110681.3133973609
4500.0	5.0	614818.5559483725	940292.0667963147	815839.7112195304	658580.3470298066	405986.9501474487	262630.6979231827	109861.51165843487
4750.0	2.0	960435.7424977476	1279643.8746562672	1035066.3118264282	804557.6077792167	473753.71802148956	281424.1957716008	117968.17825657436
4750.0	2.5	972305.0147500648	1273114.0463998192	1030664.2582866749	802870.6461356961	472109.1715116707	282454.242514772	118112.89764979435
4750.0	3.0	981648.9807280711	1268512.5464895295	1027473.8378587499	801540.8758230617	470830.8357454846	283432.48210604413	118275.5532151646
4750.0	3.5	986117.4129772182	1266434.000369926	1026371.9572310145	801046.2066397354	470069.6007604877	284690.4415272041	118519.50453142643
4750.0	4.0	983310.8749798328	1265335.5706252859	1027134.942776753	801938.9813424767	469825.44951011695	285656.07866457745	118763.96810988609
4750.0	4.5	973128.4958360912	1266480.8485473972	1030680.2347006205	804715.411864683	470620.69978101825	286447.06879219477	119076.18064069716
4750.0	5.0	954823.9961765218	1268836.8295610873	1036293.3277311055	808701.3887111302	471884.24305524625	286802.06390531984	119324.66997944344
5000.0	2.0	1379568.6360325958	1641844.2601219954	1278846.759411724	968589.2751524393	538864.2780397768	301896.61519308813	126011.0964982089
5000.0	2.5	1390452.1114258163	1634584.2201205778	1273688.0917690243	966165.3260164369	537327.5691184116	302829.27764231956	126163.0852089136
5000.0	3.0	1399588.1013832309	1629321.826938221	1269466.0632941101	964219.9038112194	536095.6771076547	303685.6210873414	126336.6721159483
5000.0	3.5	1406205.2104980384	1626880.8838443297	1267301.8702924442	963248.0344009011	535333.1618015581	304798.78718599817	126568.44464707705
5000.0	4.0	1407408.3079921163	1627059.3532429037	1267837.776589226	963752.0550189735	535276.2946872548	305836.86386987293	126845.43656686669
5000.0	4.5	1402444.660968099	1629920.066556867	1271257.58638694	966204.1700889766	535992.3942078765	306849.1042661633	127222.31603779916
5000.0	5.0	1388681.396603389	1633758.9643072332	1276831.0706486	970051.5431258985	537217.0053737413	307503.1220040621	127556.69275105635
5250.0	2.0	1925053.7554047657	2045522.424979832	1537853.4771743447	1141343.190061691	604306.3994845242	321623.08754366316	134017.1747069119
5250.0	2.5	1929146.4370860956	2035857.474790935	1532078.4402959095	1138013.8776472206	602746.6197611708	322682.2537492194	134218.34764419394
5250.0	3.0	1930336.8207981247	2028355.9500533624	1527392.3569203045	1135291.43034393	601477.907869108	323631.87572153757	134412.17282313903
5250.0	3.5	1932011.287249218	2025975.4872465436	1525685.6399785627	1134370.8395963076	600946.4819508444	324677.6992896656	134644.5239388192
5250.0	4.0	1932373.3824728357	2028356.8555516135	1527213.969720499	1135366.2188693436	601204.034035421	325837.6905240682	134963.73850317838
5250.0	4.5	1927576.1690070962	2032310.4138403693	1530550.7915164642	1137673.3153785635	601957.9844251008	326878.7300883426	135295.71974756304
5250.0	5.0	1917063.7730278387	2039101.5118999092	1537102.064043368	1141882.2398148899	603330.188619368	327682.10005324584	135670.39060835558
5500.0	2.0	2620835.7418708624	2493414.1560556856	1808311.6735367945	1319766.5755891397	669345.1944881706	340019.7706314677	141723.82632960862
5500.0	2.5	2608334.820191076	2478401.0214515734	1802101.2000467572	1314805.7087679878	667774.0160312129	341456.4549227708	142029.77146879802
5500.0	3.0	2595670.6106899926	2467515.4556528707	1797876.0877643263	1311689.5178379044	666702.9151026234	342841.4171995659	142297.87255288145
5500.0	3.5	2585330.4844919364	2464076.682841889	1797692.6556783968	1311504.922293242	666473.3524547898	344108.7794786187	142594.90057879518
5500.0	4.0	2576002.2955543865	2465754.2010036446	1800029.0622520729	1312938.349394439	666946.1793034243	345433.5320835404	142954.09070413775
5500.0	4.5	2564495.9206209276	2470660.334395944	1804618.5976952757	1315652.243007736	667869.5070961048	346682.2910401598	143306.98462615922
5500.0	5.0	2550316.0679458883	2479755.488511328	1812454.5162956796	1320657.9436749187	669396.965994175	347664.2073498961	143701.03330991024
5750.0	2.0	3490117.3438035576	2989384.9480028134	2090645.4095161243	1503440.0784087998	733540.4299823492	357172.12474560103	149016.86222235096
5750.0	2.5	3451508.598089716	2969099.7227237783	2086113.6994169997	1497472.6141867307	732650.5868533747	359273.3477820545	149522.27766839822
5750.0	3.0	3414039.9184822673	2953043.761419671	2082787.2283039833	1493751.9755168445	731862.8874532961	361129.8106114821	149939.1324877465
5750.0	3.5	3381619.6132335076	2943692.4465534408	2082238.1072880784	1492845.6215855074	731652.2695477773	362779.4491252072	150329.4951107959
5750.0	4.0	3352137.632791316	2940638.1112492387	2084370.6414549602	1493759.205711389	732033.9480685694	364447.25805032084	150729.44347209093
