3500	11750	250
2.0	5.0	0.5
	8	g	r	i	z	J	H	K
11000.0	2.0	49668960.68989261	19851492.863106992	9845979.543234915	6147607.863256624	2043579.0819505085	747891.9811358531	309959.4359417713
11000.0	2.5	50749322.89958962	19815223.604576852	9718936.66784739	6059406.899106073	2027401.6993545706	737820.9216207742	306646.4316059271
11000.0	3.0	50900667.9530478	19712852.641185362	9617616.157567574	5963693.400743016	2011895.4882767152	729300.6895267966	304057.50911055855
11000.0	3.5	50583940.8545106	19611922.576351907	9549051.736677296	5874249.813650951	2000029.2316795345	722773.3886815624	302296.4224347246
11000.0	4.0	49966227.82628241	19540040.12721996	9515283.853754967	5796865.598827144	1992335.974787964	718344.187787229	301331.5651276512
11000.0	4.5	49105295.19634573	19505236.532029565	9517734.343838608	5734562.900068898	1988991.8072797272	716236.929495068	301061.5189764022
11000.0	5.0	48039146.84328009	19519075.42483603	9558993.880121347	5692007.014589939	1990261.53104212	716822.9355444844	301463.21129307256
11250.0	2.0	51975765.69950063	20687181.687558822	10239236.258370347	6357244.799360243	2104214.583643407	768342.8211043321	318189.77014668053
11250.0	2.5	53128557.696213506	20655255.936158907	10110636.535629798	6268910.858042523	2087681.3853807887	758141.0946034273	314822.1518738255
11250.0	3.0	53297634.351719126	20546676.854932263	10003184.733898198	6170013.947483202	2071472.0149029675	749243.9096657621	312052.7201192428
11250.0	3.5	52971043.085404724	20434771.936029885	9925347.335577555	6077085.036706012	2058149.8413032028	742124.0180545197	309993.4044583154
11250.0	4.0	52351802.46608183	20345674.953124005	9878418.019333972	5995767.526616723	2048593.8241303517	736965.5861209625	308690.0451685299
11250.0	4.5	51501085.86848636	20295585.464997645	9867712.714550667	5929882.350799929	2042754.4775831325	734065.3110278678	308086.26470691676
11250.0	5.0	50436241.056966625	20288833.299260832	9894264.574139602	5881713.023019049	2041977.6754085787	733751.6596095407	308144.8871704531
11500.0	2.0	54312233.96495955	21526647.64851044	10630911.138930935	6565958.440156905	2164319.9696249883	788525.0954243267	326272.9008179895
11500.0	2.5	55533063.43117771	21495993.58855454	10498835.738109212	6476380.530112516	2147531.1161815943	778190.9749175811	322879.0481673752
11500.0	3.0	55704626.11999483	21379863.966977045	10387156.820609532	6375066.074479815	2130547.3363275127	769027.9395678281	320022.0723609225
11500.0	3.5	55368074.73196911	21258744.576735582	10302539.24713177	6279623.939396915	2115934.0668159327	761539.4385884494	317766.10725488194
11500.0	4.0	54743898.688426666	21157817.609085947	10245469.11224246	6195469.951048396	2104763.93009467	755717.6367294767	316147.68738370505
11500.0	4.5	53891519.44565225	21089636.93531823	10220924.091757227	6125064.52763508	2097456.8263146845	752113.2509757949	315203.56601080793
11500.0	5.0	52829789.11224836	21065887.456925765	10233717.69916444	6072283.889553366	2094364.5110622765	750982.4470118262	314940.5433754053
11750.0	2.0	56662802.66294784	22368255.487084102	11020081.362825964	6773251.2511408925	2223682.187724774	808423.6071810183	334272.7229576954
11750.0	2.5	57941997.45353714	22333999.614352733	10885283.869442714	6681800.519780219	2206411.017001364	798010.0385851603	330835.9903669736
11750.0	3.0	58123724.940714635	22215499.69556658	10770717.141698364	6579489.382449814	2189372.9921079734	788716.6228660031	327933.0015347218
11750.0	3.5	57785022.31706486	22087222.72163477	10679707.617678031	6482027.508668607	2174132.358423584	780867.6318544209	325543.5074198698
11750.0	4.0	57143723.954334475	21974840.26160858	10615467.229866857	6393959.553699803	2161527.4172375305	774629.544863453	323652.61274471215
11750.0	4.5	56286404.86614712	21889983.74517838	10580113.621631883	6320489.065801433	2152375.545410035	770353.2167690891	322410.36596279236
11750.0	5.0	55219669.37588106	21850571.57224135	10580093.236794649	6263288.548817301	2147145.7865245766	768319.6953063651	321807.3849916783
